"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 15:46:08 MSK 2023","Mon Apr 10 15:46:10 MSK 2023","1985","","api.PokemonPropertiesTestCase","","api.PokemonPropertiesTestCase","comparePokemonAbility","CPC-2, compare pokemon property: ability run-away",""
"passed","Mon Apr 10 15:46:08 MSK 2023","Mon Apr 10 15:46:10 MSK 2023","2117","","api.PokemonPropertiesTestCase","","api.PokemonPropertiesTestCase","comparePokemonWeight","CPC-1, compare pokemon property: weight",""
"passed","Mon Apr 10 15:46:08 MSK 2023","Mon Apr 10 15:46:10 MSK 2023","1733","","api.LimitedListTestCase","","api.LimitedListTestCase","checkEveryPokemonHasName","CLR-2, check if each pokemon has a name on the restricted list",""
"passed","Mon Apr 10 15:46:08 MSK 2023","Mon Apr 10 15:46:10 MSK 2023","1734","","api.LimitedListTestCase","","api.LimitedListTestCase","checkTheListRestriction","CLR-1, check the list restriction with the query parameter limit",""
